Starts,Min,90s,MP
0,70,0.8,7
11,911,10.1,17
23,1983,22.0,26
23,1973,21.9,27
27,2516,28.0,31
30,2805,31.2,35
31,2858,31.8,33
36,3270,36.3,37
28,2650,29.4,32
29,2501,27.8,31
37,3375,37.5,38
31,2729,30.3,33
32,2830,31.4,34
32,3000,33.3,36
29,2713,30.1,34
32,2880,32.0,33
33,3023,33.6,35
24,2153,23.9,26
25,2207,24.5,25
513,46447,516.1,570
464,42087,467.6,519
49,4360,48.4,51
464,42087,467.6,519
49,4360,48.4,51
