Starts,Min,90s,MP
22,1658,18.4,22
18,1452,16.1,18
6,560,6.2,7
11,986,11.0,20
26,2221,24.7,32
15,1445,16.1,23
98,8322,92.5,122
41,3666,40.7,55
40,3110,34.6,40
17,1546,17.2,27
41,3666,40.7,55
40,3110,34.6,40
17,1546,17.2,27
