Starts,Min,90s,MP
25,2244,24.9,30
33,2931,32.6,36
28,2563,28.5,35
30,2657,29.5,31
30,2556,28.4,30
28,2558,28.4,31
21,1815,20.2,25
11,802,8.9,14
17,1378,15.3,27
12,954,10.6,19
27,2398,26.6,30
18,1567,17.4,19
28,2436,27.1,28
23,1951,21.7,24
18,1564,17.4,23
349,30374,337.5,402
201,17907,199.0,223
61,4949,55.0,85
69,5951,66.1,75
18,1567,17.4,19
201,17907,199.0,223
61,4949,55.0,85
69,5951,66.1,75
18,1567,17.4,19
