MP,Starts,Min,90s
12,4,404,4.5
29,26,2143,23.8
33,29,2523,28.0
28,26,2133,23.7
34,32,2864,31.8
34,34,3004,33.4
30,28,2463,27.4
32,32,2721,30.2
36,35,3072,34.1
34,32,2838,31.5
31,30,2621,29.1
33,32,2842,31.6
21,20,1870,20.8
18,12,1218,13.5
36,36,3221,35.8
34,33,2895,32.2
29,25,2236,24.8
13,13,1162,12.9
21,18,1486,16.5
538,497,43716,485.7
