Starts,Min,90s,MP
23,1844,20.5,24
30,2300,25.6,32
34,2779,30.9,34
30,2393,26.6,34
27,2271,25.2,27
18,1569,17.4,23
13,1120,12.4,22
1,58,0.6,2
12,987,11.0,18
10,916,10.2,17
6,693,7.7,16
9,901,10.0,21
213,17831,198.1,270
158,12765,141.8,175
28,2596,28.8,51
18,1569,17.4,23
9,901,10.0,21
158,12765,141.8,175
37,3497,38.9,72
18,1569,17.4,23
