Starts,Min,90s,MP
32,2817,31.3,32
25,2189,24.3,25
31,2773,30.8,31
27,2373,26.4,27
28,2414,26.8,28
33,2875,31.9,33
16,1412,15.7,16
19,1560,17.3,19
28,2334,25.9,28
25,2063,22.9,25
24,1963,21.8,25
15,1160,12.9,15
16,1345,14.9,16
319,27278,303.1,320
188,15781,175.3,189
115,10152,112.8,115
16,1345,14.9,16
188,15781,175.3,189
115,10152,112.8,115
16,1345,14.9,16
