Starts,Min,90s,MP
31,2703,30.0,33
28,2306,25.6,29
31,2581,28.7,32
24,1997,22.2,25
32,2706,30.1,32
33,2765,30.7,33
31,2647,29.4,31
32,2703,30.0,33
33,2698,30.0,33
28,2346,26.1,29
24,2182,24.2,29
327,27634,307.0,339
148,12576,139.7,155
148,12355,137.3,151
31,2703,30.0,33
148,12576,139.7,155
148,12355,137.3,151
31,2703,30.0,33
