Starts,Min,90s,MP
30,2632,29.2,30
32,2815,31.3,32
33,2785,30.9,33
32,2701,30.0,32
26,2246,25.0,27
32,2765,30.7,32
17,1451,16.1,17
26,2009,22.3,28
16,1485,16.5,23
27,2314,25.7,30
17,1609,17.9,23
7,767,8.5,18
24,2154,23.9,24
10,851,9.5,12
32,2872,31.9,32
25,2141,23.8,26
386,33597,373.3,419
140,11948,132.8,141
91,8018,89.1,94
62,5447,60.5,62
42,3494,38.8,51
24,2376,26.4,41
27,2314,25.7,30
