MP,Starts,Min,90s
18,5,615,6.8
36,20,2052,22.8
30,17,1711,19.0
13,8,756,8.4
16,12,1029,11.4
31,26,2244,24.9
35,27,2589,28.8
33,31,2770,30.8
37,37,3298,36.6
37,37,3330,37.0
32,31,2826,31.4
32,30,2672,29.7
17,16,1474,16.4
30,27,2337,26.0
29,24,2112,23.5
21,15,1223,13.6
11,11,859,9.5
26,26,2263,25.1
4,0,98,1.1
25,24,2107,23.4
30,27,2519,28.0
30,30,2648,29.4
573,481,43532,483.7
