Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 22_level_0
Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1958,20,eng England,1. World Cup,GR,0.0,0.0,,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1962,24,eng England,1. World Cup,QF,4.0,4.0,360.0,4.0,1.0,,,1.0,0.0,,0.0,0.0,0.25,,,0.25,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1966,28,eng England,1. World Cup,1st,6.0,6.0,570.0,6.3,3.0,,,3.0,0.0,,0.0,0.0,0.47,,,0.47,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1970,32,eng England,1. World Cup,QF,4.0,4.0,285.0,3.2,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Matches
4 Seasons,4 Seasons,1 Club,1 League,,14.0,14.0,1215.0,13.5,4.0,,,4.0,0.0,,0.0,0.0,0.3,,,0.3,,
