Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 22_level_0
Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1950,35,eng England,1. World Cup,GR,1.0,1.0,90.0,1.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1954,39,eng England,1. World Cup,QF,2.0,2.0,210.0,2.3,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Matches
2 Seasons,2 Seasons,1 Club,1 League,,3.0,3.0,300.0,3.3,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,
