Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 22_level_0
Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1958,27,cs Czechoslovakia,1. World Cup,GR,4.0,4.0,390.0,4.3,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1962,31,cs Czechoslovakia,1. World Cup,2nd,6.0,6.0,540.0,6.0,1.0,,,1.0,0.0,,0.0,0.0,0.17,,,0.17,,Matches
2 Seasons,2 Seasons,1 Club,1 League,,10.0,10.0,930.0,10.3,1.0,,,1.0,0.0,,0.0,0.0,0.1,,,0.1,,
