Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 22_level_0
Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1978,21,it Italy,1. World Cup,4th,7.0,7.0,630.0,7.0,3.0,,,3.0,0.0,,0.0,0.0,0.43,,,0.43,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1982,25,it Italy,1. World Cup,1st,7.0,7.0,574.0,6.4,6.0,,,6.0,0.0,,1.0,0.0,0.94,,,0.94,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1986,29,it Italy,1. World Cup,R16,0.0,0.0,,,,,,,,,,,,,,,,Matches
3 Seasons,3 Seasons,1 Club,1 League,,14.0,14.0,1204.0,13.4,9.0,,,9.0,0.0,,1.0,0.0,0.67,,,0.67,,
