Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 22_level_0
Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1995-1996,53,Ferencváros,1. Champions Lg,GR,4.0,3.0,245.0,2.7,2.0,,,2.0,0.0,,2.0,0.0,0.73,,,0.73,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1997-1998,55,Ferencváros,3. UEFA Cup,Rd1,1.0,0.0,30.0,0.3,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Matches
2 Seasons,2 Seasons,1 Club,2 Leagues,,5.0,3.0,275.0,3.1,2.0,,,2.0,0.0,,2.0,0.0,0.65,,,0.65,,
Champions Lg (1 Season),Champions Lg (1 Season),Champions Lg (1 Season),,,4.0,3.0,245.0,2.7,2.0,,,2.0,0.0,,2.0,0.0,0.73,,,0.73,,
UEFA Cup (1 Season),UEFA Cup (1 Season),UEFA Cup (1 Season),,,1.0,0.0,30.0,0.3,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,
