Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1988-1989,23,Milan,it ITA,1. Serie A,3rd,33,33,2919.0,32.4,19,,,15.0,4.0,,1,1,0.59,,,0.46,,Matches
1989-1990,24,Milan,it ITA,1. Serie A,2nd,26,26,2330.0,25.9,19,,,14.0,5.0,,3,1,0.73,,,0.54,,Matches
1990-1991,25,Milan,it ITA,1. Serie A,2nd,31,31,2755.0,30.6,11,,,8.0,3.0,,3,0,0.36,,,0.26,,Matches
1991-1992,26,Milan,it ITA,1. Serie A,1st,31,31,2665.0,29.6,25,,,16.0,9.0,,1,1,0.84,,,0.54,,Matches
1992-1993,27,Milan,it ITA,1. Serie A,1st,15,14,1254.0,13.9,13,,,11.0,2.0,,1,0,0.93,,,0.79,,Matches
1993-1994,28,Milan,it ITA,1. Serie A,1st,0,0,,0.0,0,,,,,,0,0,,,,,,
1994-1995,29,Milan,it ITA,1. Serie A,4th,0,0,,0.0,0,,,,,,0,0,,,,,,
7 Seasons,7 Seasons,1 Club,,1 League,,136,135,11923.0,132.5,87,,,64.0,23.0,,9,3,0.66,,,0.48,,
