Starts,Min,90s,MP
1,112,1.2,6
4,520,5.8,13
13,1156,12.8,21
32,2565,28.5,36
31,2758,30.6,36
14,1312,14.6,27
20,1898,21.1,33
26,2242,24.9,34
19,1770,19.7,30
34,2733,30.4,35
29,2278,25.3,29
26,1979,22.0,27
23,1903,21.1,29
25,2150,23.9,32
35,2953,32.8,36
36,3141,34.9,37
33,2894,32.2,34
31,2593,28.8,32
18,1515,16.8,18
450,38472,427.5,545
369,31361,348.5,433
81,7111,79.0,112
369,31361,348.5,433
81,7111,79.0,112
