Starts,Min,90s,MP
0,,0.0,0
2,150,1.7,2
27,2284,25.4,27
28,2502,27.8,29
29,2610,29.0,29
25,2244,24.9,27
31,2745,30.5,31
30,2609,29.0,30
31,2763,30.7,31
29,2540,28.2,29
26,2340,26.0,26
27,2425,26.9,28
22,1927,21.4,22
38,3334,37.0,38
36,3201,35.6,36
32,2769,30.8,32
33,2788,31.0,33
29,2423,26.9,29
27,2390,26.6,27
502,44044,489.4,506
201,17851,198.3,203
57,4936,54.8,58
101,8925,99.2,101
94,7980,88.7,94
49,4352,48.4,50
408,36064,400.7,412
94,7980,88.7,94
