Starts,Min,90s,MP
37,3196,35.5,37
32,2872,31.9,32
17,1484,16.5,19
5,381,4.2,7
9,665,7.4,10
29,2422,26.9,31
31,2588,28.8,32
32,2796,31.1,34
21,1796,20.0,23
3,322,3.6,7
12,1059,11.8,14
4,322,3.6,6
232,19903,221.1,252
116,9924,110.3,127
63,5402,60.0,68
16,1381,15.3,20
37,3196,35.5,37
153,13120,145.8,164
79,6783,75.4,88
