Starts,Min,90s,MP
30,2683,29.8,30
33,2924,32.5,33
11,869,9.7,11
17,1516,16.8,17
28,2499,27.8,29
28,2439,27.1,28
22,1965,21.8,22
15,1316,14.6,16
3,226,2.5,3
187,16437,182.6,189
113,9961,110.7,115
63,5607,62.3,63
11,869,9.7,11
176,15568,173.0,178
11,869,9.7,11
