MP,Starts,Min,90s
32,32,2819,31.3
26,21,1956,21.7
21,18,1618,18.0
28,28,2341,26.0
31,30,2526,28.1
32,32,2664,29.6
29,27,2290,25.4
30,28,2445,27.2
27,27,2381,26.5
33,31,2716,30.2
33,33,2941,32.7
31,28,2355,26.2
32,28,2505,27.8
385,363,31557,350.6
247,234,20297,225.5
138,129,11260,125.1
352,330,28616,318.0
33,33,2941,32.7
