Starts,Min,90s,MP
17,1456,16.2,19
1,97,1.1,2
25,2227,24.7,26
25,2001,22.2,26
13,1155,12.8,15
30,2658,29.5,31
21,1912,21.2,22
8,720,8.0,8
31,2736,30.4,31
6,680,7.6,12
0,192,2.1,6
177,15834,175.9,198
89,7656,85.1,96
37,3608,40.1,49
51,4570,50.8,53
140,12226,135.8,149
37,3608,40.1,49
