Starts,Min,90s,MP
25,1973,21.9,25
34,2776,30.8,34
21,1910,21.2,25
32,2793,31.0,32
36,3214,35.7,36
25,2179,24.2,33
29,2639,29.3,34
16,1290,14.3,16
31,2619,29.1,32
22,1887,21.0,25
23,1970,21.9,26
31,2608,29.0,34
22,1996,22.2,31
32,2733,30.4,35
25,2032,22.6,28
16,1428,15.9,25
420,36047,400.5,471
272,23381,259.8,319
123,10693,118.8,127
25,1973,21.9,25
272,23381,259.8,319
123,10693,118.8,127
25,1973,21.9,25
