Starts,Min,90s,MP
19,1919,21.3,28
20,1926,21.4,27
32,2677,29.7,32
35,3071,34.1,35
29,2523,28.0,29
32,2733,30.4,32
13,1168,13.0,17
16,1612,17.9,29
34,2886,32.1,36
7,608,6.8,11
2,155,1.7,2
15,1354,15.0,20
6,465,5.2,7
260,23097,256.6,305
141,12172,135.2,145
57,5106,56.7,76
39,3845,42.7,55
15,1354,15.0,20
6,465,5.2,7
2,155,1.7,2
141,12172,135.2,145
57,5106,56.7,76
39,3845,42.7,55
8,620,6.9,9
15,1354,15.0,20
