Starts,Min,90s,MP
41,3524,39.2,41
34,2869,31.9,34
37,3270,36.3,37
30,2491,27.7,31
34,2991,33.2,35
19,1634,18.2,20
16,1508,16.8,22
22,1840,20.4,23
21,1732,19.2,22
23,2063,22.9,25
28,2371,26.3,29
305,26293,292.1,319
154,13255,147.3,157
66,5635,62.6,70
41,3524,39.2,41
28,2371,26.3,29
16,1508,16.8,22
195,16779,186.4,198
94,8006,89.0,99
16,1508,16.8,22
