Starts,Min,90s,MP
26,2340,26.0,26
25,2269,25.2,28
23,2038,22.6,24
26,2282,25.4,26
8,797,8.9,10
9,876,9.7,11
17,1550,17.2,19
5,475,5.3,7
139,12627,140.3,151
108,9726,108.1,114
17,1550,17.2,19
9,876,9.7,11
5,475,5.3,7
108,9726,108.1,114
14,1351,15.0,18
17,1550,17.2,19
