Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 22_level_0
Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1970,24,de West Germany,1. World Cup,3rd,6.0,6.0,600.0,6.7,10.0,,,9.0,1.0,,2.0,0.0,1.5,,,1.35,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1974,28,de West Germany,1. World Cup,1st,7.0,7.0,630.0,7.0,4.0,,,4.0,0.0,,0.0,0.0,0.57,,,0.57,,Matches
2 Seasons,2 Seasons,1 Club,1 League,,13.0,13.0,1230.0,13.7,14.0,,,13.0,1.0,,2.0,0.0,1.02,,,0.95,,
