Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 22_level_0
Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1978,22,fr France,1. World Cup,1R,3.0,2.0,225.0,2.5,1.0,,,1.0,0.0,,1.0,0.0,0.4,,,0.4,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1982,26,fr France,1. World Cup,4th,5.0,5.0,470.0,5.2,2.0,,,1.0,1.0,,0.0,0.0,0.38,,,0.19,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1986,30,fr France,1. World Cup,3rd,6.0,6.0,564.0,6.3,2.0,,,2.0,0.0,,0.0,0.0,0.32,,,0.32,,Matches
3 Seasons,3 Seasons,1 Club,1 League,,14.0,13.0,1259.0,14.0,5.0,,,4.0,1.0,,1.0,0.0,0.36,,,0.29,,
