Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 22_level_0
Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1962,18,it Italy,1. World Cup,GR,1.0,1.0,90.0,1.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1966,22,it Italy,1. World Cup,GR,2.0,2.0,180.0,2.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1970,26,it Italy,1. World Cup,2nd,4.0,0.0,172.0,1.9,2.0,,,2.0,0.0,,1.0,0.0,1.05,,,1.05,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1974,30,it Italy,1. World Cup,1R,2.0,2.0,155.0,1.7,1.0,,,1.0,0.0,,0.0,0.0,0.58,,,0.58,,Matches
4 Seasons,4 Seasons,1 Club,1 League,,9.0,5.0,597.0,6.6,3.0,,,3.0,0.0,,1.0,0.0,0.45,,,0.45,,
