Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 22_level_0
Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1978,22,de West Germany,1. World Cup,2R,5.0,5.0,450.0,5.0,3.0,,,3.0,0.0,,0.0,0.0,0.6,,,0.6,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1982,26,de West Germany,1. World Cup,2nd,7.0,6.0,473.0,5.3,5.0,,,5.0,0.0,,0.0,0.0,0.95,,,0.95,,Matches
,,,,,,,,,,,,,,,,,,,,,,
1986,30,de West Germany,1. World Cup,2nd,7.0,4.0,349.0,3.9,1.0,,,1.0,0.0,,0.0,0.0,0.26,,,0.26,,Matches
3 Seasons,3 Seasons,1 Club,1 League,,19.0,15.0,1272.0,14.1,9.0,,,9.0,0.0,,0.0,0.0,0.64,,,0.64,,
